NAME	LAT	LON
--------------------	-----	-------
JAN MAYEN	70,56	-8,4
SVALBARD	78,15	15,28
TROMSOE	69,41	18,55
BJORNOYA	74,31	19,01
ALTA LUFTHAVN	69,59	23,22
HAMMERFEST	70,4	23,4
BANAK/LAKSELV (AFB)	70,04	24,59
KIRKENES	69,44	29,54
MAKKAUR FYR	70,43	30,04
BRONNOYSUND/BRONNOY	65,27	12,13
BASMOEN	66,2	14,06
BODOE	67,16	14,22
HARSTAD	68,48	16,32
NARVIK	68,28	17,3
ALESUND AIRP	62,34	6,07
HJELVIG (MYRBO)	62,37	7,14
KRISTIANSUND	63,07	7,5
FOKSTUA 2	62,07	9,17
ORLAND	63,42	9,36
TRONDHEIM	63,28	10,55
NAMSOS	64,28	11,35
BERGEN	60,18	5,13
VANGSNES	61,1	6,39
SOGNDAL	61,09	7,08
SOGNEFJELL	61,34	8
FAGERNES	61	9,18
VENABU	61,39	10,07
OSLO/GARDERMOEN	60,12	11,06
HAMAR-STAVSBERG	60,49	11,04
UTSIRA FYR	59,19	4,52
STAVANGER	58,53	5,38
KRISTIANSAND	58,12	8,05
SKIEN	59,11	9,34
MELSOM	59,14	10,21
OSLO/FORNEBU	59,54	10,37
OSLO-BLINDERN	59,56	10,43
SARPSBORG	59,17	11,07
RYGGE	59,23	10,47
GALLIVARE APT	67,09	20,39
LAINIO	67,46	22,21
PAJALA	67,12	23,23
KVIKKJOKK	66,57	17,44
GUNNARN	64,58	17,42
LULEA	65,33	22,08
HAPARANDA	65,5	24,09
FROSON	63,12	14,3
ORNSKOLDSVIK	63,18	18,41
JAERNAESKLUBB	63,26	19,41
UMEA	63,48	20,17
SKELLEFTEHAMN	64,38	21,05
SVEG	62,02	14,22
KUGGOEREN AMOS	61,42	17,31
TIMRA/MIDLANDA	62,31	17,27
SODERHAMN	61,16	17,06
ARVIKA	59,4	12,35
KARLSTAD	59,22	13,28
BORLANGE	60,26	15,3
UPPSALA	59,53	17,36
STOCKHOLM/ARLANDA	59,39	17,55
STOCKHOLM	59,21	17,57
TULLINGE	59,11	17,55
FLODA	59,04	16,23
SALA	59,55	16,41
SVANBERGA	59,5	18,38
SOEDERARM	59,45	19,25
NORDKOSTER	58,53	11
MASESKAR	58,05	11,2
GOETEBORG	57,47	11,53
GOETEBORG	57,42	12
SATENAS	58,26	12,43
GOTEBORG/LANDVETTER	57,4	12,3
HALLUM	58,19	13,02
JONKOPING	57,46	14,05
GLADHAMMAR	57,43	16,27
LINKOPING	58,24	15,31
MALILLA	57,24	15,49
NORRKOPING	58,35	16,09
GOTSKA SANDON	58,24	19,12
HARSTENA	58,15	17,01
VISBY	57,4	18,21
ROMA/GOTLAND	57,33	18,26
BROEN	56,52	12,4
HALMSTAD	56,41	12,5
ANGELHOLM	56,18	12,51
HELSINGBORG	56,02	12,46
FALSTERBO	55,23	12,49
